ActivateAudioSlowmoMode	Below is a list of modes and their respective hashes.\n\n| Mode (string)               | Hash               |\n|-----------------------------|--------------------|\n| SLOWMO_BIG_SCORE_JUMP       | 0x2B981B0C         |\n| JSH_EXIT_TUNNEL_SLOWMO      | 0x2562AA6          |\n| SLOW_MO_METH_HOUSE_RAYFIRE  | 0xDB9E1909         |\n| SLOWMO_FIB4\\_TRUCK_SMASH     | 0x9E144347         |\n| SLOWMO_PROLOGUE_VAULT       | 0xEA2E68E1         |\n| SLOWMO_T1\\_RAYFIRE_EXPLOSION | 0xD6D358F3         |\n| SLOWMO_T1\\_TRAILER_SMASH     | 0xBE607345         |\n| BARRY\\_01\\_SLOWMO             | 0xD59540D4         |\n| BARRY\\_02\\_SLOWMO             | 0x12F140B3         |\n| SLOWMO_EXTREME\\_04           | 0xF562EA50         |\n| NIGEL\\_02\\_SLOWMO_SETTING     | 0x384689B0         |\n\n**Parameters**\n- `mode`: A string indicating the audio slow motion mode to use, *see the table*.
IsMissionCompletePlaying	\n\n**Returns** Returns true if the mission complete audio is playing
IsMissionCompleteReadyForUi	\n\n**Returns** Returns true if the script should draw the mission complete UI to be in sync with audio.
IsMissionNewsStoryUnlocked	\n\n**Returns** Returns true of the specific story is available to be played back
IsMissionTrain	```\nNativeDB Introduced: v2372\n```
IsMobileInterferenceActive	\n\n**Returns** Returns true of mobile phone interference is currently happening
IsMobilePhoneCallOngoing	\n\n**Returns** Returns true of a mobile phone call is currently happening.
IsMobilePhoneRadioActive	\n\n**Returns** Returns true if the mobile phone radio is active
IsModelAVehicle	```\nReturns whether the specified model represents a vehicle.  \n```
IsModelInCdimage	```\nCheck if model is in cdimage(rpf)  \n```
IsModelValid	```\nReturns whether the specified model exists in the game.  \n```
IsMouseRolledOverInstructionalButtons	**Note:** The buttons need to support mouse (with the `TOGGLE_MOUSE_SUPPORT` scaleform movie method) for it to return `true`.\n\n**Returns** Returns `true` if the cursor is hovering above instructional buttons.
IsMultiplayerChatActive	```\nReturns whether or not the text chat (MULTIPLAYER_CHAT Scaleform component) is active.  \n```
IsMusicOneshotPlaying	\n\n**Returns** Returns true if a one shot is currently playing or prepared
IsNavmeshLoadedInArea	```\nReturns whether navmesh for the region is loaded. The region is a rectangular prism defined by it's top left deepest corner to it's bottom right shallowest corner.  \nIf you can re-word this so it makes more sense, please do. I'm horrible with words sometimes...  \n```
IsNavmeshRequiredRegionOwnedByAnyThread	```\nIS_*\n```
IsNextWeatherType	Refer to [`SET_WEATHER_TYPE_NOW_PERSIST`](#\\_0xED712CA327900C8A) for weather types.
IsNitrousActive	```\nNativeDB Introduced: 3095\n```\n\nDetermines if the nitrous is currently activated in the specified vehicle.\n\n**Parameters**\n- `vehicle`: The vehicle to check.\n\n**Returns** Returns `true` if nitrous is active, otherwise `false`.\n\n```lua\n-- Retrieve the player ped\nlocal playerPed = PlayerPedId()\n\n-- Retrieve the vehicle the player is currently in. \nlocal vehicle = GetVehiclePedIsIn(playerPed, false)\n\n-- Check if the vehicle exists in the game world.\nif vehicle == 0 then return end\n\n-- Print whether nitrous is active in the vehicle (True or False).\nprint(IsNitrousActive(vehicle))\n```
IsNuiFocusKeepingInput	Checks if keyboard input is enabled during NUI focus using `SET_NUI_FOCUS_KEEP_INPUT`.\n\n**Returns** True or false.
IsNuiFocused	Returns the current NUI focus state previously set with `SET_NUI_FOCUS`.\n\n**Returns** True or false.
IsObjectAPortablePickup	```\nNativeDB Introduced: v1365\n```
IsOnlinePoliciesMenuActive	Returns the same as `IS_SOCIAL_CLUB_ACTIVE`.
IsOrbisVersion	\n\n**Returns** Hard-coded to always return 0.
IsPcVersion	\n\n**Returns** Hard-coded to always return 1.
IsPedAPlayer	```\nReturns true if the given ped has a valid pointer to CPlayerInfo in its CPed class. That's all.\n```
IsPedActiveInScenario	This is a stricter version of [`IS_PED_USING_ANY_SCENARIO`](#\\_0x57AB4A3080F85143). It only returns true if the ped is playing the ambient animations associated with the scenario.\n\n**Parameters**\n- `ped`: The ped handle.\n\n**Returns** Returns true if the ped is in a using a scenario and is doing the ambient animations.
IsPedArmed	Checks if the ped is currently equipped with a weapon matching a bit specified using a bitwise-or in typeFlags.\n\n| Bit value | Effect            |\n|-----------|-------------------|\n| 1         | Melee weapons     |\n| 2         | Explosive weapons |\n| 4         | Any other weapons |\n\nNot specifying any bit will lead to the native *always* returning 'false', and for example specifying '4 | 2' will check for any weapon except fists and melee weapons.\n\n**Parameters**\n- `ped`: The ped to check armed state on.\n- `typeFlags`: Type flags to check.\n\n**Returns** Whether or not the ped is currently equipped with any weapon matching typeFlags.
IsPedBeingArrested	```\nThis function is hard-coded to always return 0.  \n```
IsPedBeingStunned	```\np1 is always 0  \n```
IsPedBodyBlemishValid	```\nNativeDB Introduced: v1290\n```
IsPedCollectionComponentVariationGen9Exclusive	An alternative to [IS_PED_COMPONENT_VARIATION_GEN9\\_EXCLUSIVE](#\\_0xC767B581) that uses local collection indexing instead of the global one.\n\nThe local / collection relative indexing is useful because the global index may get shifted after Title Update. While local index will remain the same which simplifies migration to the newer game version.\n\nCollection name and local index inside the collection can be obtained from the global index using [GET_PED_COLLECTION_NAME_FROM_DRAWABLE](#\\_0xD6BBA48B) and [GET_PED_COLLECTION_LOCAL_INDEX_FROM_DRAWABLE](#\\_0x94EB1FE4) natives.\n\n**Parameters**\n- `ped`: The target ped\n- `componentId`: One of the components from [SET_PED_COMPONENT_VARIATION](#\\_0x262B14F48D29DE80)\n- `collection`: Name of the collection. Empty string for the base game collection. See [GET_PED_COLLECTION_NAME](#\\_0xFED5D83A) in order to list all available collections.\n- `drawableId`: Local drawable Id inside the given collection. Refer to [GET_NUMBER_OF_PED_COLLECTION_DRAWABLE_VARIATIONS](#\\_0x310D0271).\n\n**Returns** Whether or not the ped component variation is a gen9 exclusive (stub assets).
IsPedCollectionComponentVariationValid	An alternative to [IS_PED_COMPONENT_VARIATION_VALID](#\\_0xE825F6B6CEA7671D) that uses local collection indexing instead of the global one.\n\nThe local / collection relative indexing is useful because the global index may get shifted after Title Update. While local index will remain the same which simplifies migration to the newer game version.\n\nCollection name and local index inside the collection can be obtained from the global index using [GET_PED_COLLECTION_NAME_FROM_DRAWABLE](#\\_0xD6BBA48B) and [GET_PED_COLLECTION_LOCAL_INDEX_FROM_DRAWABLE](#\\_0x94EB1FE4) natives.\n\n**Parameters**\n- `ped`: The target ped\n- `componentId`: One of the components from [SET_PED_COMPONENT_VARIATION](#\\_0x262B14F48D29DE80)\n- `collection`: Name of the collection. Empty string for the base game collection. See [GET_PED_COLLECTION_NAME](#\\_0xFED5D83A) in order to list all available collections.\n- `drawableId`: Local drawable Id inside the given collection. Refer to [GET_NUMBER_OF_PED_COLLECTION_DRAWABLE_VARIATIONS](#\\_0x310D0271).\n- `textureId`: The texture id of the drawable. Refer to [GET_NUMBER_OF_PED_COLLECTION_TEXTURE_VARIATIONS](#\\_0xD2C15D7).\n\n**Returns** Returns true if the component variation is valid. This may be useful for randomizing components using loops.
IsPedComponentVariationGen9Exclusive	\n\n**Parameters**\n- `ped`: The target ped.\n- `componentId`: The component id.\n- `drawableId`: The drawable id.\n\n**Returns** Whether or not the ped component variation is a gen9 exclusive (stub assets).\n\n```lua\nlocal ped = PlayerPedId()\n\nfor component = 0, 12 do\n  local count = GetNumberOfPedDrawableVariations(ped, component)\n\n  for drawable = 0, count - 1 do\n    if IsPedComponentVariationGen9Exclusive(ped, component, drawable) then\n      print("Component " .. component .. " drawable " .. drawable .. " is a gen9 exclusive, skip!")\n    end\n  end\nend\n```
IsPedComponentVariationValid	Checks if the component variation is valid, this works great for randomizing components using loops.\n\n**Parameters**\n- `ped`: The ped handle.\n- `componentId`: The component id to check the variation of. Refer to [SET_PED_COMPONENT_VARIATION](#\\_0x262B14F48D29DE80).\n- `drawableId`: The drawable id to get the component variation of. Refer to [GET_NUMBER_OF_PED_PROP_DRAWABLE_VARIATIONS](#\\_0x5FAF9754E789FB47).\n- `textureId`: The texture id to get the component variation of. Refer to [GET_NUMBER_OF_PED_PROP_TEXTURE_VARIATIONS](#\\_0xA6E7F1CEB523E171).
IsPedCurrentWeaponSilenced	```\nThis native returns a true or false value.  \nPed ped = The ped whose weapon you want to check.  \n```
IsPedDeadOrDying	Determines if a ped is dead. Contrary to what the name might suggest, it does not always detect when a ped is in the 'dying' phase (transitioning to death). The exception is when `checkMeleeDeathFlags` is set to `true`, which then includes peds in the midst of melee takedown moves as being in a dying state, even if the death task has not yet started.\n\n```\nNativeDB Introduced: v323\n```\n\n**Parameters**\n- `ped`: The ped to check.\n- `checkMeleeDeathFlags`: If set to `true`, extends the check to include melee takedown moves as part of the dying phase.\n\n**Returns** Returns `true` if the ped is dead. When `checkMeleeDeathFlags` is set to `true`, it also considers peds in melee takedown moves as dying, although the broader 'dying' phase may not be detected.
IsPedEvasiveDiving	```\nPresumably returns the Entity that the Ped is currently diving out of the way of.\nvar num3;\n    if (PED::IS_PED_EVASIVE_DIVING(A_0, &num3) != 0)\n        if (ENTITY::IS_ENTITY_A_VEHICLE(num3) != 0)\n```
IsPedFacingPed	```\nangle is ped's view cone  \n```
IsPedFatallyInjured	```\nGets a value indicating whether this ped's health is below its fatally injured threshold. The default threshold is 100.  \nIf the handle is invalid, the function returns true.  \n```
IsPedHandcuffed	\n\n**Parameters**\n- `ped`: The target ped.\n\n**Returns** Whether or not the ped is handcuffed.
IsPedHuman	```\nReturns true/false if the ped is/isn't humanoid.  \n```
IsPedHurt	```\nReturns whether the specified ped is hurt.  \n```
IsPedInAnyVehicle	Returns whether the specified ped is in any vehicle. If `atGetIn` is set to true, also returns true if the ped is\ncurrently in the process of entering a vehicle (a specific stage check for `CTaskEnterVehicle`).\n\n**Parameters**\n- `ped`: The ped to check.\n- `atGetIn`: `true` to also consider attempting to enter a vehicle.\n\n**Returns** Whether or not the ped is currently involved in any vehicle.\n\n```lua\nif IsPedInAnyVehicle(PlayerPedId(), false) then\n    print('Local player is in a vehicle!')\nend\n```
IsPedInCombat	Examines whether the ped is engaged in combat; when given a target ped index, it confirms if the ped is actively fighting the specified target, returning true if engaged and false if not.\n\n**Parameters**\n- `ped`: Ped index.
IsPedInCover	```\np1 is nearly always 0 in the scripts.  \n```
IsPedInCurrentConversation	\n\n**Returns** Returns true if the ped is in the currently playing conversation
IsPedInMeleeCombat	```\nNotes: The function only returns true while the ped is:   \nA.) Swinging a random melee attack (including pistol-whipping)  \nB.) Reacting to being hit by a melee attack (including pistol-whipping)  \nC.) Is locked-on to an enemy (arms up, strafing/skipping in the default fighting-stance, ready to dodge+counter).   \nYou don't have to be holding the melee-targetting button to be in this stance; you stay in it by default for a few seconds after swinging at someone. If you do a sprinting punch, it returns true for the duration of the punch animation and then returns false again, even if you've punched and made-angry many peds  \n```
IsPedInVehicle	```\nGets a value indicating whether the specified ped is in the specified vehicle.  \nIf 'atGetIn' is false, the function will not return true until the ped is sitting in the vehicle and is about to close the door. If it's true, the function returns true the moment the ped starts to get onto the seat (after opening the door). Eg. if false, and the ped is getting into a submersible, the function will not return true until the ped has descended down into the submersible and gotten into the seat, while if it's true, it'll return true the moment the hatch has been opened and the ped is about to descend into the submersible.  \n```
IsPedInWrithe	This native checks if a ped is on the ground, in pain from a (gunshot) wound.\n\n**Returns** Returns `true` if the ped is in [writhe](https://dictionary.cambridge.org/dictionary/english/writhe), `false` otherwise.
IsPedInjured	Indicates whether this ped's health is below its injured threshold.\nThe default threshold is 100, these are stored in the `pedhealth.meta` file located in `common:\\data\\`\n\n### Below are some of the values\n\n| InjuredHealthThreshold | Name      |\n|------------------------|-----------|\n| 100.000000             | Strong    |\n| 100.000000             | Average   |\n| 100.000000             | Weak      |\n\n**Parameters**\n- `ped`: The ped to check for injuries.\n\n**Returns** Returns `true` if the ped is injured, `false` otherwise.
IsPedMale	```\nReturns true/false if the ped is/isn't male.  \n```
IsPedOnMount	```\nSame function call as PED::GET_MOUNT, aka just returns 0  \n```
IsPedOnVehicle	```\nGets a value indicating whether the specified ped is on top of any vehicle.  \nReturn 1 when ped is on vehicle.  \nReturn 0 when ped is not on a vehicle.  \n```
IsPedOpeningADoor	```\nIS_PED_*\n\nReturns true if the ped is currently opening a door (CTaskOpenDoor).\n```
IsPedRagdoll	```\nIf the ped handle passed through the parenthesis is in a ragdoll state this will return true.  \n```
IsPedReloading	```\nReturns whether the specified ped is reloading.  \n```
IsPedRingtonePlaying	\n\n**Returns** Returns true if the peds ringtone is currently playing
IsPedShooting	```\nReturns whether the specified ped is shooting.  \n```
IsPedSittingInAnyVehicle	```\nDetect if ped is in any vehicle  \n[True/False]  \n```
IsPedSittingInVehicle	```\nDetect if ped is sitting in the specified vehicle  \n[True/False]  \n```
IsPedStopped	```\nReturns true if the ped doesn't do any movement. If the ped is being pushed forwards by using APPLY_FORCE_TO_ENTITY for example, the function returns false.  \n```
IsPedStrafing	```\nWhat's strafing?  \n```
IsPedTryingToEnterALockedVehicle	If the ped is attempting to enter a locked vehicle.\n\n**Parameters**\n- `ped`: Ped index.
IsPedUsingAnyScenario	\n\n**Parameters**\n- `ped`: The ped handle.\n\n**Returns** Returns true if the ped is using any scenario.
IsPedUsingScenario	See [`TASK_START_SCENARIO_IN_PLACE`](#\\_0x142A02425FF02BD9) for a list of scenarios.\n\n**Parameters**\n- `ped`: The ped handle.\n- `scenario`: The scenario name.\n\n**Returns** Returns true if the specified ped is using the specified scenario.
IsPedWearingHelmet	```\nReturns true if the ped passed through the parenthesis is wearing a helmet.  \n```
IsPedheadshotReady	```\ngtaforums.com/topic/885580-ped-headshotmugshot-txd/  \n```
IsPedheadshotValid	```\ngtaforums.com/topic/885580-ped-headshotmugshot-txd/  \n```
IsPlayerBattleAware	```\nReturns true if an unk value is greater than 0.0f  \n```
IsPlayerBeingArrested	```\nReturn true while player is being arrested / busted.  \nIf atArresting is set to 1, this function will return 1 when player is being arrested (while player is putting his hand up, but still have control)  \nIf atArresting is set to 0, this function will return 1 only when the busted screen is shown.  \n```
IsPlayerCamControlDisabled	```\nReturns true when the player is not able to control the cam i.e. when running a benchmark test, switching the player or viewing a cutscene.  \nNote: I am not 100% sure if the native actually checks if the cam control is disabled but it seems promising.  \n```
IsPlayerClimbing	```\nReturns TRUE if the player ('s ped) is climbing at the moment.  \n```
IsPlayerCommerceInfoLoaded	> This native is deprecated and may be removed in a future version. Use [`IS_PLAYER_COMMERCE_INFO_LOADED_EXT`](#\\_0x1D14F4FE) instead.\n\nRequests whether or not the commerce data for the specified player has loaded.\n\n**Parameters**\n- `playerSrc`: The player handle\n\n**Returns** A boolean.
IsPlayerCommerceInfoLoadedExt	Requests whether or not the commerce data for the specified player has loaded from Tebex.\n\n**Parameters**\n- `playerSrc`: The player handle\n\n**Returns** A boolean.
IsPlayerControlOn	```\nCan the player control himself, used to disable controls for player for things like a cutscene.  \n---  \nYou can't disable controls with this, use SET_PLAYER_CONTROL(...) for this.  \n```
IsPlayerDrivingDangerously	```cpp\nenum eViolationType {\n  // Checks if the player is driving on pedestrians walk ways\n  VT_PAVED_PEDESTRIAN_AREAS = 0,\n  // Checks if the player is running through red lights\n  // This takes some time to return true.\n  VT_RUNNING_REDS = 1,\n  // checks if the player is driving on the wrong side of the road\n  VT_AGAINST_TRAFFIC = 2\n};\n```\n\nUsed solely in "Al Di Napoli" with type 2 for a voiceline.\n\n**Parameters**\n- `player`: Player ID\n- `type`: Refer to `eViolationType`.\n\n**Returns** Returns true if the player is performing the `type` traffic violation.
IsPlayerEvadingWantedLevel	```\nThis will return true if the player is evading wanted level, meaning that the wanted level stars are blink.\nOtherwise will return false.\n\nIf the player is not wanted, it simply returns false.\n```\n\n**Parameters**\n- `playerSrc`: The target player\n\n**Returns** boolean value, depending if the player is evading his wanted level or not.
IsPlayerFreeAiming	```\nGets a value indicating whether the specified player is currently aiming freely.  \n```
IsPlayerFreeAimingAtEntity	```\nGets a value indicating whether the specified player is currently aiming freely at the specified entity.  \n```
IsPlayerInFreeCamMode	\n\n**Parameters**\n- `playerSrc`: The player to get the free camera mode status of\n\n**Returns** Returns if the player is in free camera mode.
IsPlayerLoggingInNp	```\nthis function is hard-coded to always return 0.  \n```
IsPlayerOnline	It returns true if the player is online, suggesting they are also logged in locally. Note that this is an alias for `NETWORK_IS_SIGNED_ONLINE`.\n\n**Returns** It provides a true value if the game is in online mode and false if it's in offline mode.
IsPlayerPlaying	```\nChecks whether the specified player has a Ped, the Ped is not dead, is not injured and is not arrested.  \n```
IsPlayerRidingTrain	```\nReturns true if the player is riding a train.  \n```
IsPlayerSwitchInProgress	```\nReturns true if the player is currently switching, false otherwise.  \n(When the camera is in the sky moving from Trevor to Franklin for example)  \n```
IsPlayerUsingSuperJump	\n\n**Parameters**\n- `playerSrc`: The player handle\n\n**Returns** A boolean.
IsPlaylistUnk	```\nNativeDB Introduced: v1604\n```
IsPointInAngledArea	An **angled area** is an X-Z oriented rectangle with three parameters:\n\n1.  **origin**: the mid-point along a base edge of the rectangle;\n2.  **extent**: the mid-point of opposite base edge on the other Z;\n3.  **width**: the length of the base edge; (named derived from logging strings `CNetworkRoadNodeWorldStateData`).\n\nThe oriented rectangle can then be derived from the direction of the two points (`norm(origin - extent)`), its orthonormal, and the width, e.g:\n\n1.  [golf_mp](https://i.imgur.com/JhsQAK9.png)\n2.  [am_taxi](https://i.imgur.com/TJWCZaT.jpg)\n\n**Parameters**\n- `xPos`: The x coordinate.\n- `yPos`: The y coordinate.\n- `zPos`: The z coordinate.\n- `x1`: X dimension of the angled area 'origin'\n- `y1`: Y dimension of the angled area 'origin'\n- `z1`: Z dimension of the angled area 'origin'\n- `x2`: X dimension of the angled area 'extent'\n- `y2`: Y dimension of the angled area 'extent'\n- `z2`: Z dimension of the angled area 'extent'\n- `width`: Width of the angled area\n- `p10`: a debug flag invoking functions in the same path as `DRAW_MARKER`\n- `includez`: If true, include the Z dimension when doing the height check; otherwise the query becomes two-dimensional
IsPointOnRoad	```\nGets a value indicating whether the specified position is on a road.  \nThe vehicle parameter is not implemented (ignored).  \n```
IsPopMultiplierAreaUnk	```\nNativeDB Introduced: v1290\n```
IsPositionOccupied	The BOOL parameters that are documented have not been confirmed. They are just documented from what I've found during testing. They may not work as expected in all cases.\n\n**Parameters**\n- `x`: X coordinate of the position to check.\n- `y`: Y coordinate of the position to check.\n- `z`: Z coordinate of the position to check.\n- `range`: The range, seems to not be very accurate during testing.\n- `p4`: Unknown, when set to true it seems to always return true no matter what I try.\n- `checkVehicles`: Check for any vehicles in that area.\n- `checkPeds`: Check for any peds in that area.\n- `p7`: Unknown.\n- `p8`: Unknown.\n- `ignoreEntity`: This entity will be ignored if it's in the area. Set to 0 if you don't want to exclude any entities.\n- `p10`: Unknown.\n\n**Returns** Returns true if there is anything in that location matching the provided parameters.
IsPrevWeatherType	Refer to [`SET_WEATHER_TYPE_NOW_PERSIST`](#\\_0xED712CA327900C8A) for weather types.
IsProjectileInArea	```\nDetermines whether there is a projectile within the specified coordinates. The coordinates form a rectangle.  \nownedByPlayer = only projectiles fired by the player will be detected.  \n```
IsProjectileTypeInAngledArea	See [`IS_POINT_IN_ANGLED_AREA`](#\\_0x2A70BAE8883E4C81) for the definition of an angled area.\n\n```\nNativeDB Removed Parameter 7: float p7\n```\n\n**Parameters**\n- `x1`: X dimension of the angled area 'origin'\n- `y1`: Y dimension of the angled area 'origin'\n- `z1`: Z dimension of the angled area 'origin'\n- `x2`: X dimension of the angled area 'extent'\n- `y2`: Y dimension of the angled area 'extent'\n- `z2`: Z dimension of the angled area 'extent'\n- `width`: Width of the angled area
IsProjectileTypeInArea	```\nDetermines whether there is a projectile of a specific type within the specified coordinates. The coordinates form a axis-aligned bounding box.  \n```
IsPs3Version	\n\n**Returns** Hard-coded to always return 0.
IsRadioFadedOut	\n\n**Returns** Returns true if the radio is currently faded out
IsRadioRetuning	\n\n**Returns** Returns true if the radio is tuning to a station
IsRadioStationFavourited	\n\n**Returns** Returns whether a radio station is a favourite.
IsRawKeyDown	Gets if the specified `rawKeyIndex` is pressed down on the keyboard.\n\nThis will not be triggered if the key is disabled with [DISABLE_RAW_KEY_THIS_FRAME](#\\_0x8BCF0014)\n\nVirtual key codes can be found [here](https://learn.microsoft.com/en-us/windows/win32/inputdev/virtual-key-codes)\n\n**Parameters**\n- `rawKeyIndex`: Index of raw key from keyboard.\n\n**Returns** Returns bool value of down state.\n\n```lua\nif IsRawKeyDown(32) then -- KEY_SPACE\n    print("Spacebar is down")\nend\n```
IsRawKeyPressed	Gets if the specified `rawKeyIndex` is pressed on the keyboard.\n\nThis will not be triggered if the key is disabled with [DISABLE_RAW_KEY_THIS_FRAME](#\\_0x8BCF0014)\n\nVirtual key codes can be found [here](https://learn.microsoft.com/en-us/windows/win32/inputdev/virtual-key-codes)\n\n**Parameters**\n- `rawKeyIndex`: Index of raw key from keyboard.\n\n**Returns** Returns bool value of pressed state.\n\n```lua\nif IsRawKeyPressed(32) then -- KEY_SPACE\n    print("Spacebar pressed")\nend\n```
IsRawKeyReleased	Gets if the specified `rawKeyIndex` was just released on the keyboard.\n\nThis will not be triggered if the key is disabled with [DISABLE_RAW_KEY_THIS_FRAME](#\\_0x8BCF0014)\n\nVirtual key codes can be found [here](https://learn.microsoft.com/en-us/windows/win32/inputdev/virtual-key-codes)\n\n**Parameters**\n- `rawKeyIndex`: Index of raw key from keyboard.\n\n**Returns** Returns bool value of released state.\n\n```lua\nif IsRawKeyReleased(32) then -- KEY_SPACE\n    print("Spacebar released")\nend\n```
IsRawKeyUp	Gets if the specified `rawKeyIndex` is up  on the keyboard.\n\nThis will not be triggered if the key is disabled with [DISABLE_RAW_KEY_THIS_FRAME](#\\_0x8BCF0014)\n\nVirtual key codes can be found [here](https://learn.microsoft.com/en-us/windows/win32/inputdev/virtual-key-codes)\n\n**Parameters**\n- `rawKeyIndex`: Index of raw key from keyboard.\n\n**Returns** Returns bool value of up state.\n\n```lua\nif IsRawKeyUp(32) then -- KEY_SPACE\n    print("Spacebar is up")\nend\n```
IsRecording	Checks if you're recording.\n\n**Returns** Whether recording is currently running, true when you start recording (F1) or turn on action replay (F2)
IsScaleformMovieDeleting	```\nNativeDB Introduced: v1290\n```\n\n**Parameters**\n- `scaleformIndex`: Scaleform index returned by [`REQUEST_SCALEFORM_MOVIE`](#\\_0x11FE353CF9733E6F) (or similar natives).\n\n**Returns** Returns true if a scaleform movie is being deleted from streaming memory (After it has been marked as no longer needed with [`SET_SCALEFORM_MOVIE_AS_NO_LONGER_NEEDED`](#\\_0x1D132D614DD86811).
IsScaleformMovieMethodReturnValueReady	methodReturn: The return value of this native: END_SCALEFORM_MOVIE_METHOD_RETURN_VALUE\nReturns true if the return value of a scaleform function is ready to be collected (using GET_SCALEFORM_MOVIE_METHOD_RETURN_VALUE_STRING or GET_SCALEFORM_MOVIE_METHOD_RETURN_VALUE_INT).\n\n**Parameters**\n- `method_return`: The return value of this native: `EndScaleformMovieMethodReturn`\n\n**Returns** Returns true if the return value of a scaleform function is ready to be collected
IsScenarioGroupEnabled	```\n Occurrences in the b617d scripts:\n "ARMY_GUARD",\n "ARMY_HELI",\n "BLIMP",\n "Cinema_Downtown",\n "Cinema_Morningwood",\n "Cinema_Textile",\n "City_Banks",\n "Countryside_Banks",\n "DEALERSHIP",\n "KORTZ_SECURITY",\n "LSA_Planes",\n "MP_POLICE",\n "Observatory_Bikers",\n "POLICE_POUND1",\n "POLICE_POUND2",\n "POLICE_POUND3",\n "POLICE_POUND4",\n "POLICE_POUND5",\n "Rampage1",\n "SANDY_PLANES",\n "SCRAP_SECURITY",\n "SEW_MACHINE",\n "SOLOMON_GATE"\nSometimes used with DOES_SCENARIO_GROUP_EXIST:\nif (TASK::DOES_SCENARIO_GROUP_EXIST("Observatory_Bikers") &&   (!TASK::IS_SCENARIO_GROUP_ENABLED("Observatory_Bikers"))) {\nelse if (TASK::IS_SCENARIO_GROUP_ENABLED("BLIMP")) {\n```
IsScenarioTypeEnabled	```\nOccurrences in the b617d scripts:\n"PROP_HUMAN_SEAT_CHAIR",\n"WORLD_HUMAN_DRINKING",\n"WORLD_HUMAN_HANG_OUT_STREET",\n"WORLD_HUMAN_SMOKING",\n"WORLD_MOUNTAIN_LION_WANDER",\n"WORLD_HUMAN_DRINKING"\nSometimes used together with MISC::IS_STRING_NULL_OR_EMPTY in the scripts.\nscenarioType could be the same as scenarioName, used in for example TASK::TASK_START_SCENARIO_AT_POSITION.\n```
IsScreenblurFadeRunning	```\nReturns whether screen transition to blur/from blur is running.\n```
IsScriptGlobalShaking	Determines if a global camera shake is currently active. You can stop the currently active global camera shake using [STOP_SCRIPT_GLOBAL_SHAKING](#\\_0x1C9D7949FA533490).\n\n```\nNativeDB Introduced: v323\n```\n\n**Returns** Returns `true` if a scripted global camera shake is currently in effect, otherwise `false`.\n\n```lua\n-- Print whether a global camera shake is currently active\nprint(IsScriptGlobalShaking())\n```
IsScriptedConversationLoaded	\n\n**Returns** Returns true if the first batch of lines for the currently requested conversation have loaded successfully.
IsScriptedScenarioPedUsingConditionalAnim	[Animations list](https://alexguirre.github.io/animations-list/)
IsScriptedSpeechPlaying	\n\n**Returns** Returns true if scripted speech is currently playing from the given ped.
IsScubaGearLightEnabled	```\nNativeDB Introduced: v1493\n```
IsSeatWarpOnly	\n\n**Parameters**\n- `vehicle`: The vehicle to check.\n- `seatIndex`: See eSeatPosition declared in [`IS_VEHICLE_SEAT_FREE`](#\\_0x22AC59A870E6A669).
IsShockingEventInSphere	```\neventType: https://alloc8or.re/gta5/doc/enums/eEventType.txt\n```
IsSniperBulletInArea	```\nDetermines whether there is a sniper bullet within the specified coordinates. The coordinates form an axis-aligned bounding box.  \n```
IsSniperInverted	```\nThis function is hard-coded to always return 0.  \n```
IsSpecialAbilityActive	```\nNativeDB Added Parameter 2: Any p1\n```
IsSpecialAbilityEnabled	```\nNativeDB Added Parameter 2: Any p1\n```
IsSpecialAbilityMeterFull	```\nNativeDB Added Parameter 2: Any p1\n```
IsSrlLoaded	Returns true when the srl from BEGIN_SRL is loaded.\n\n**Returns** *   A boolean once BeginSrl srl is loaded.
IsSteamVersion	```\nNativeDB Introduced: 2545\n```\n\n**Returns** Returns `true` when GTA:V is running with the Steam executable.
IsStreamPlaying	\n\n**Returns** Returns true if the script is currently playing a stream.
IsStreamingFileReady	**Experimental**: This native may be altered or removed in future versions of CitizenFX without warning.\n\nReturns whether an asynchronous streaming file registration completed.\n\n**Parameters**\n- `registerAs`: The file name to check, for example `asset.ydr`.\n\n**Returns** Whether or not the streaming file has been registered.
IsSynchronizedSceneRunning	```\nReturns true if a synchronized scene is running  \n```
IsThisModelACar	```\nTo check if the model is an amphibious car, see gtaforums.com/topic/717612-v-scriptnative-documentation-and-research/page-33#entry1069317363 (for build 944 and above only!)  \n```
IsThisModelAJetski	```\nChecks if model is a boat, then checks for FLAG_IS_JETSKI.\n```
IsTimeEqualTo	```\nReturns true if the two times are equal; otherwise returns false.  \n```
IsTimeLessThan	```\nSubtracts the second argument from the first, then returns whether the result is negative.  \n```
IsTimeMoreThan	```\nSubtracts the first argument from the second, then returns whether the result is negative.  \n```
IsToggleModOn	\n\n**Parameters**\n- `modType`: Refer to eVehicleModType in [`SET_VEHICLE_MOD`](#\\_0x6AF0636DDEDCB6DD).
IsTrackEnabled	Getter for [SET_TRACK_ENABLED](#\\_0x4B41E84C)\n\n**Parameters**\n- `track`: The track id (between 0 - 27)\n\n**Returns** If this track is enabled.
IsTrackSwitchedOff	Getter for [SWITCH_TRAIN_TRACK](#\\_0xFD813BB7DB977F20). Determines if ambient trains are able to spawn on this track.\n\n**Parameters**\n- `track`: The track id (between 0 - 27)\n\n**Returns** If this track allows ambient trains to spawn
